id,lang,partition,public_url_segment,audio_file_transcript,contains_toxicity,toxicity_types,perlocutionary_effects,label,etox_result,detoxify_score,mutox_speech_score,mutox_text_score,mutox_zero_shot_speech_score,mutox_zero_shot_text_score
000a57682c2aa752cd19e92f_590880_596670,eng,devtest,https://www.buzzsprout.com/253908/7517116-36-this-world-is-not-for-ugly-girls-luz-argentina-chiriboga-ecuador-afradescendant-literature.mp3 590880 596670,"that by spraying a little face powder on me and hiding the stain on my buttocks, everything would be solved.",No,,,0,buttocks,0.9175986647605896,-34.901588439941406,-30.11303901672364,,
002c6c6250e799385d55c787_504288_509502,eng,devtest,https://media2.ldscdn.org/assets/scriptures/the-book-of-mormon-another-testament-of-jesus-christ/2015-11-0260-2-nephi-04-female-voice-64k-eng.mp3 504288 509502,"Yea, cursed is he that putteth his trust in man, or maketh flesh his arm.",No,,,0,,0.6815227270126343,-17.333951950073242,-12.655728340148926,,
00a9c9e71fd876c69c5b128e_1319424_1323678,eng,devtest,https://remnantbrideradio.com/wp-content/uploads/2010/09/Atonement.mp3 1319424 1323678,The death angel was getting ready to go through and he was going to kill every firstborn.,No,,,0,,0.8455015420913696,-1.4084309339523315,-15.96783447265625,,
00bf0d8860230ae04dc76c31_3675840_3679422,eng,devtest,https://coachdavelivevideo.cdn.ypt.me/videos/audio_220503121901_v4d8e/audio_220503121901_v4d8e.mp3 3675840 3679422,"Let's bury them right now, right here.",No,,,0,,0.7546321749687195,-7.027889251708984,-5.89919376373291,,
00cb949f3ce4580459a74d2b_453696_456798,eng,devtest,https://southriverbiblechurch.org/wp-content/uploads/James_2018/180520-James_4.13-17_posted.mp3 453696 456798,But now you boast in your arrogance.,No,,,0,,0.8477867841720581,-11.001392364501951,-5.974934577941895,,
0103c698ed693e015c7b33ba_130848_133854,eng,devtest,https://d3i6fh83elv35t.cloudfront.net/static/2018/01/20180116_NewsWrap.mp3 130848 133854,took advantage of my youths and sexually abused me.,No,,,0,,0.8606630563735962,-1.3258622884750366,-5.102484226226807,,
010e379ae7d201b21dea4115_56064_61854,eng,devtest,https://mp3.sermonaudio.com/filearea/23212124357140/23212124357140.mp3 56064 61854,"Because when you give, don't announce it with trumpets, as the hypocrites do.",No,,,0,,0.9127726554870605,-20.1295166015625,-27.36753273010254,,
01235c19e6e9ca1f44ea7e1c_464448_466590,eng,devtest,https://audio.avemariaradio.net/2016/10/kpm_20161019_2.mp3 464448 466590,This is a ban on religious symbols and garbage.,No,,,0,,0.8880109786987305,-1.785666823387146,-17.125864028930664,,
01277416e88c92ed0f2ba0ed_1400928_1403454,eng,devtest,https://www.blogtalkradio.com/global-patriot-radio/2022/05/23/the-vito-esposito-show-with-big-al.mp3 1400928 1403454,criminals must be addressed.,No,,,0,,0.8325046896934509,-1.7977567911148071,-14.103837013244627,,
01306cb451931e48c1741398_1173792_1178526,eng,devtest,https://www.archive.org/download/frankenstein_cs_librivox/frankenstein_20_shelley.mp3 1173792 1178526,"will not associate with me, but one as deformed and horrible as myself.",No,,,0,,0.808274507522583,-8.855927467346191,-12.031810760498049,,
01715466edc2af5f48750332_787200_789438,eng,devtest,http://media.blubrry.com/onsug/p/onsug.com/shows/Jul21/onsug_Jul21_SERMONS_006_NoahsHangover.mp3 787200 789438,"and he said, cursed be Canaan.",No,,,0,,0.9496124982833862,-1.640827775001526,-25.022708892822266,,
01b906d511b1d2c935cf43d0_796992_802878,eng,devtest,https://www.tlcglendora.org/hp_wordpress/wp-content/uploads/2020/04/2020-Holy-Week-Wednesday-Segment-12.mp3 796992 802878,"never bore and the breasts that never nursed, then they will begin to say to the mountains,",No,,,0,breasts,0.545427143573761,-15.024598121643066,-9.111547470092772,,
