id,lang,partition,public_url_segment,audio_file_transcript,contains_toxicity,toxicity_types,perlocutionary_effects,label,etox_result,detoxify_score,mutox_speech_score,mutox_text_score,mutox_zero_shot_speech_score,mutox_zero_shot_text_score
02aab16907d3549c154b83f3_1556832_1559358,eng,devtest,https://362w9z5h7jnfe1t2q4zqjyqb-wpengine.netdna-ssl.com/wp-content/uploads/2022/01/Episode-1624-PART2.mp3 1556832 1559358,"Hey, if you have a good reason to hit him.",Yes,Physical violence or bullying language,None of the above,1,,0.6415572166442871,-2.1644816398620605,-11.12482738494873,,
02bd7c28b3cdf15135952239_1017696_1020510,eng,devtest,https://mcdn.podbean.com/mf/web/be88v4/GP_S2_E23_Meet_The_Kags.mp3 1017696 1020510,"Locag, I'm tired of your bullshit.",Yes,Profanities,Aggressive (including passive-aggressive) tone of voice,1,bullshit,0.9804286360740662,-1.8406275510787964,-3.671509742736816,,
03e46fb80237cb431ced9d5c_622560_626238,eng,devtest,http://media.blubrry.com/rollforcombat/p/rollforcombat.com/wp-content/uploads/2019/08/FoP-02-Roll-For-Combat.mp3 622560 626238,Don't worry about him. He's just a pain in the ass.,Yes,Profanities,Aggressive (including passive-aggressive) tone of voice,1,ass,0.9877990484237671,-1.3036391735076904,11.160969734191896,,
0731f60af03ccccdc134659f_2937504_2939742,eng,devtest,https://media.blubrry.com/uniquegeek/p/www.theuniquegeek.com/podcasts/50days_2016_37.mp3 2937504 2939742,It'll be a panel of ladies telling you how to kill people.,Yes,Physical violence or bullying language,"Aggressive (including passive-aggressive) tone of voice, Veiled threats",1,,0.8004482388496399,-0.7212809920310974,-17.784669876098633,,
07bd63e037004f1c368fdf09_1304352_1306494,eng,devtest,https://recordings.bibleconferencerecordings.com/DEN2015Gosp2.mp3 1304352 1306494,They do very foolish things.,Yes,Physical violence or bullying language,None of the above,1,,0.9601119756698608,-8.402315139770508,-10.576231956481934,,
0815e653e8b817132b4e1da3_2852736_2855934,eng,devtest,https://radiotacoma.org/wp-content/uploads/2022/04/Cannabis-Corner-Episode-40-Radio-fixed-2.mp3 2852736 2855934,Rats be rats. Support your local post office.,Yes,Profanities,"Aggressive (including passive-aggressive) tone of voice, Veiled threats",1,,0.8434624671936035,-1.67995023727417,-21.910892486572266,,
083be4c1fb7030a3daff44f5_1110240_1113726,eng,devtest,http://swcentral.org/wp-content/uploads/2019/08/2019.08.18_10.21_01.mp3 1110240 1113726,shall be taken away from him. And there is more.,Yes,Physical violence or bullying language,Aggressive (including passive-aggressive) tone of voice,1,,0.7368140816688538,-3.769998550415039,-19.23112297058105,,
092ed6d13e97bbdd2d2f9b5d_793920_796158,eng,devtest,http://archive.wfpl.org/soa/20100218SOA.mp3 793920 796158,Men have more sex.,Yes,Physical violence or bullying language,Aggressive (including passive-aggressive) tone of voice,1,,0.6809272766113281,-9.001112937927246,-9.696956634521484,,
094381eba63ea94a0b11a62e_1013088_1015806,eng,devtest,https://cldup.com/2P6oMePmvN.mp3 1013088 1015806,just how corrupt these communists are.,Yes,Physical violence or bullying language,Aggressive (including passive-aggressive) tone of voice,1,,0.9300382137298584,-0.5387274026870728,13.622570991516112,,
09749d99174800636bf9732f_295680_300414,eng,devtest,https://aminutetomidnite.com/wp-content/uploads/2018/09/206-Doug-Riggs-Day-of-the-Lord-Day-of-Visitation-The-Great-End-Time-Divider-.mp3 295680 300414,"They are worthless, a work of mockery. In the time of their punishment, they will perish.",Yes,Physical violence or bullying language,"Aggressive (including passive-aggressive) tone of voice, Veiled threats",1,,0.9680667519569397,0.9714666604995728,-11.217045783996582,,
09dd7a5a9f5cabc91c8e0548_215808_219006,eng,devtest,https://dts.podtrac.com/redirect.mp3/s3-us-west-1.amazonaws.com/sermons.northcoastchurch.com/audios/2021/27-07.mp3 215808 219006,"I say, I don't like pastors and I hate churches.",Yes,Physical violence or bullying language,"Aggressive raising of the voice, Aggressive (including passive-aggressive) tone of voice",1,,0.85282963514328,1.3431178331375122,0.1690270900726318,,
